price-date,P1-EUR,P2-USD
2021-05-31,3500000.0,
2021-06-30,3376293.0,
2021-07-31,1707607.65,
2021-08-31,3990000.0,
2021-09-30,4739047.95,4095000.0
2021-10-31,4754391.0,3900000.0
2021-11-30,5900731.0,6502000.0
2021-12-31,3475887.192,3901200.0
2022-01-31,6353393.43,6502000.0
2022-02-28,7228898.721,7152200.0
2022-03-31,6911369.674,7152200.0
2022-04-30,7624027.84,7152200.0
2022-05-31,10958776.96,9102800.0
2022-06-30,6633096.162,7152200.0
